state,capital,subsidy,road tax,petrol,diesel
Andhra Pradesh,Amaravati,0.00,1,111.65,99.41
Arunachal Pradesh,Itanagar,5000.00,0,95.89,84.81
Assam,Dispur,10000.00,1,96.34,84.24
Bihar,Patna,10000.00,1,109.17,95.82
Chhattisgarh,Raipur,5000.00,0,102.98,95.96
Goa,Panaji,8000.00,1,97.82,90.37
Gujarat,Gandhinagar,10000.00,0.5,96.49,92.23
Haryana,Chandigarh,0.00,0,97.24,90.08
Himachal Pradesh,Shimla,5000.00,0,95.74,81.99
Jharkhand,Ranchi,5000.00,0,100.09,94.88
Karnataka,Bengaluru,0.00,1,102.64,88.55
Kerala,Thiruvananthapuram,0.00,0.5,106.45,95.34
Madhya Pradesh,Bhopal,0.00,0.99,110.02,95.18
Maharashtra,Mumbai,5000.00,1,111.18,95.66
Manipur,Imphal,5000.00,0,101.22,87.16
Meghalaya,Shillong,4000.00,1,95.06,83.28
Mizoram,Aizawl,0.00,0,95.72,82.17
Nagaland,Kohima,5000.00,0,98.28,86.65
Odisha,Bhubaneswar,0.00,1,104.45,95.97
Punjab,Chandigarh,0.00,1,96.26,86.63
Rajasthan,Jaipur,0.00,0,108.07,93.35
Sikkim,Gangtok,0.00,0,102.85,98.90
Tamil Nadu,Chennai,0.00,1,103.62,95.24
Telangana,Hyderabad,0.00,1,111.97,99.97
Tripura,Agartala,5000.00,0,98.58,87.52
Uttar Pradesh,Lucknow,0.00,0.75,96.38,89.55
Uttarakhand,Dehradun,0.00,0,95.62,90.55
West Bengal,kolkata,10000.00,1,106.79,93.47
Andaman and Nicobar Islands,Port Blair,0.00,0,84.10,79.74
Chandigarh,Chandigarh,5000.00,1,96.20,84.26
Dadra and Nagar Haveli and Daman and Diu,Daman,5000.00,0,94.43,89.98
Delhi,Delhi,10000.00,1,96.72,89.62
Jammu and Kashmir,Srinagar,0.00,0,100.94,86.09
Ladakh,Leh,0.00,0,107.01,91.39
Lakshadweep,Kavaratti,0.00,0,107.71,96.47
Puducherry,Puducherry,5000.00,1,95.88,86.11
